"","Bitcoin","Dash","Ethereum","Litecoin","Monero","NEM","Ripple","Siacon","Stellar","Verge"
"Aug 2015",230.06,2.58,1.36,2.84,0.467238,9.4e-05,0.007884,3e-05,0.002479,1.4e-05
"Sep 2015",236.06,2.34,0.738644,3.01,0.399882,0.000151,0.00552,2.8e-05,0.001985,1.4e-05
"Oct 2015",314.17,2.31,0.916627,3.8,0.404538,0.000145,0.004687,3.5e-05,0.00216,1.3e-05
"Nov 2015",377.32,2.17,0.873119,3.62,0.395225,0.000106,0.004201,1.9e-05,0.001732,2.2e-05
"Dec 2015",430.57,3.27,0.933542,3.48,0.470402,0.000151,0.00604,1.7e-05,0.001751,1.3e-05
"Jan 2016",368.77,4.11,2.31,3.05,0.483429,0.000491,0.006399,2.2e-05,0.001776,1.5e-05
"Feb 2016",437.7,3.92,6.34,3.45,0.870503,0.000647,0.007923,8.3e-05,0.001949,4.8e-05
"Mar 2016",416.73,6.88,11.4,3.26,1.4,0.001495,0.007391,0.000121,0.002027,0.000113
"Apr 2016",448.32,6.83,8.81,3.66,0.916537,0.001601,0.006812,8.5e-05,0.001852,5.1e-05
"May 2016",531.39,8.18,14.08,4.65,0.928747,0.001875,0.005706,0.000325,0.001543,2.7e-05
"Jun 2016",673.34,7.13,12.46,4.19,1.61,0.012527,0.006657,0.000776,0.002143,3.4e-05
"Jul 2016",624.68,9.51,11.88,4.01,1.82,0.006658,0.005945,0.000631,0.001916,1.9e-05
"Aug 2016",575.47,11.89,11.67,3.8,8.58,0.005698,0.006012,0.000431,0.001906,2.1e-05
"Sep 2016",609.74,12.1,13.22,3.84,8.41,0.004366,0.00883,0.000488,0.002847,2.4e-05
"Oct 2016",700.97,9.2,11,3.99,5.12,0.003629,0.008196,0.000377,0.002088,2.5e-05
"Nov 2016",745.69,8.91,8.59,3.89,8.95,0.003717,0.006723,0.000224,0.001629,2.2e-05
"Dec 2016",963.74,11.21,7.97,4.33,13.78,0.003676,0.006449,0.000242,0.002469,1.9e-05
"Jan 2017",970.4,16.07,10.73,4.08,12.99,0.005237,0.006314,0.000378,0.002371,2.9e-05
"Feb 2017",1179.97,32.51,15.82,3.77,12.28,0.007034,0.005536,0.00032,0.001843,1.2e-05
"Mar 2017",1071.79,74.91,50.04,6.67,20.54,0.014928,0.020889,0.000697,0.002356,4.3e-05
"Apr 2017",1347.89,91.55,79.02,15.71,23.72,0.050966,0.051607,0.001248,0.00484,8.1e-05
"May 2017",2286.41,135.97,230.67,25.3,41.83,0.202065,0.24659,0.007476,0.034273,0.000867
"Jun 2017",2480.84,181.77,294.92,40.35,43.73,0.159532,0.26293,0.014268,0.026988,0.002797
"Jul 2017",2875.34,178.51,203.87,43.02,39.84,0.165068,0.167386,0.008058,0.016095,0.003031
"Aug 2017",4703.39,378.32,383.04,71.06,140.41,0.337213,0.25563,0.008333,0.022405,0.006395
"Sep 2017",4338.71,327.14,301.46,55.14,95.76,0.235162,0.197529,0.00492,0.013858,0.006948
"Oct 2017",6468.4,279.15,305.88,55.75,87.64,0.186771,0.200558,0.003613,0.029182,0.007157
"Nov 2017",10233.6,786.93,447.11,88.33,180.14,0.226677,0.250878,0.005456,0.072871,0.005612
"Dec 2017",14156.4,1051.68,756.73,232.1,349.03,1.03,2.3,0.03035,0.360756,0.2226
"Jan 2018",15170.1,1087.75,1148.53,255.76,405.07,1.65,2.46,0.078621,0.629323,0.178385
